65532,65534,65532,65530,65528,65528.7,65526,65526,65523,65523,65521,65519,65518,65515,65514,65512,65512,65510,65508,65506
65534,65534,65532,65530,65529.5,65528,65526,65526,65525.6,65523,65521,65519.2,65518.4,65515,65514,65512,65510,65510,65508,65506
65532,65532,65532,65530,65528,65528,65526,65526,65523.8,65523,65521,65518,65518,65515,65514,65512,65512,65510,65507,65507
65530,65531.4,65530,65530,65528,65526,65526,65524,65523,65521,65521,65518,65518,65515,65514,65512,65510,65510,65509.6,65507
65530,65530,65530,65528,65528,65526,65526,65524,65521.9,65521,65519,65518,65518,65515,65512,65510,65510,65508,65507,65507
65528,65528,65527,65527,65526,65526,65524,65523,65521,65519,65519,65517,65516,65515,65512.5,65510,65510,65508,65507,65506
65526,65526,65526,65524,65524,65524,65524,65522,65521,65519,65518,65517,65516,65513,65512,65510,65510,65508,65508,65505
65524,65524,65524,65524,65522,65522,65522,65522,65520,65518,65517,65516,65515,65515,65512,65510,65508,65508,65508,65505.1
65523.2,65522,65522,65521.2,65521,65520,65520,65518,65520,65518,65516,65516,65515,65512,65511,65509,65508,65507.2,65506,65504
65521,65519,65520,65519,65518,65518,65518,65518,65518,65518,65516,65515,65513,65512,65510,65509,65508,65507,65504,65504
65518,65518,65518,65518,65518,65518,65518,65518,65516,65516,65516,65514,65514,65511,65509,65508,65507,65505,65504,65503
65517,65518,65518,65518,65518,65516,65516,65516,65516,65516,65514,65514,65512,65512,65509,65508,65507,65505,65504,65503
65516,65517,65517,65517,65517,65516,65515,65515,65515.7,65514,65514,65512,65512,65510,65508.7,65507,65505.6,65505,65503,65502
65515,65515,65515,65515,65515,65515,65515,65514,65514,65514,65512,65512,65510,65510,65508,65507,65505,65504,65503,65502
65514,65514,65514,65514,65514,65514,65512.1,65512,65512,65512,65512,65510,65510,65508,65508,65506,65505,65503,65502,65502
65511,65512,65512,65512,65512,65512,65511,65511,65509,65510.3,65509,65509,65507.6,65506.5,65506,65506,65504,65503,65502,65500
65510,65510.1,65510,65509,65510.8,65509,65509,65509,65508,65508,65508,65507,65507,65506,65506,65504,65503.9,65502,65500,65500
65508,65508,65508,65509.2,65508,65508,65508,65507,65506,65506,65507,65506.3,65506,65504,65503,65503.6,65502,65502,65500,65499
65506,65506,65507,65508,65508,65508,65506,65506,65506,65506,65506,65505,65505,65504,65502,65502,65501,65500,65500,65498
65506,65506,65506,65506,65505.9,65506,65506,65505,65505,65505,65505,65505,65503,65502,65501,65501,65500,65500,65498,65498
65532,65534,65532,65530,65529,65527.6,65526,65525,65523,65522,65522,65520,65518,65517,65515,65512,65511,65510,65508,65508
65534,65534,65532,65530,65528,65527,65526,65525,65524.7,65522,65522,65519,65519.6,65517,65515,65513,65510,65508,65508,65508
65532,65532,65532,65530,65528,65526,65526,65525,65522,65522,65522,65519,65518,65517,65515,65513,65511,65510,65508,65506
65530,65530,65530,65530,65528,65526,65525,65524,65522,65522,65522,65519,65517,65516,65515,65513,65510,65510,65508,65506
65530,65530,65530,65528,65528,65526,65524,65524,65522,65522,65520,65519,65517,65514,65513,65512,65510,65510,65508,65506
65528,65528,65528,65528,65526,65526,65524,65522,65522,65520,65519,65517.2,65517,65514,65512,65512,65509,65508,65506,65506
65526,65526,65526,65526,65526,65524,65524,65522,65522,65520,65518,65517,65515,65514,65514,65512,65509.7,65506,65506,65504
65524,65524,65525,65525,65523,65523,65522,65522,65520,65519,65517,65515,65515,65513,65512,65511,65508,65507,65506,65505.3
65523,65523,65523,65522,65522,65520,65520,65518,65520,65518,65517,65515.3,65513,65512,65512,65511,65508,65508,65506,65504
65520.9,65520,65520,65520,65520,65519.5,65518,65518,65518,65518,65516,65515,65514,65512,65511,65511,65507,65506,65506,65504
65520,65520,65518,65518,65518,65518,65517,65516,65517,65516,65516,65514,65513.4,65512,65510,65508,65507,65505,65505,65504
65517,65518,65518,65518,65516,65515,65515,65514,65514,65514,65514,65514,65512,65512,65510,65508,65506,65505,65504,65503
65514,65515,65514,65514,65514,65514,65514,65514,65514,65514,65512,65512,65512,65510,65510,65508,65505,65505,65503,65502
65514,65514,65514,65514,65514,65514,65513.4,65514,65514,65514,65512,65512,65510,65510,65508,65508,65506,65504,65502,65502
65513,65513,65513,65513,65513,65513,65512,65512,65512,65512,65512,65510,65510,65508,65508,65506,65505,65503,65502,65501
65511,65511,65511,65511.5,65511,65511,65511,65511,65511,65510,65510,65510,65508,65508,65506,65506,65504,65503,65501,65500
65510,65510.1,65510,65510,65510,65510,65510,65510,65509,65508,65508,65508,65508,65506,65505,65504,65503.9,65502,65501,65499
65509,65508,65509,65509.3,65508,65508.5,65508,65508,65507,65507,65507.4,65507,65506,65505,65504,65504,65502,65502,65500,65499
65507,65507,65507,65507,65507,65507,65507,65506,65505,65505,65505,65505,65505,65504,65503,65502,65502,65500,65499,65498
65504,65506,65506,65506,65504.9,65505,65504,65504,65504,65504,65504,65504,65503,65503,65502,65500.6,65500,65500,65498,65498
65532,65534,65533.2,65531,65528,65527,65524,65524,65522,65522,65520,65519,65518,65517.3,65516,65514,65511,65510,65507,65506
65534,65534,65532,65531,65529,65527,65524,65524,65522,65522,65520,65519,65518.8,65517,65516,65514.6,65511,65510,65507,65506
65532,65532,65532,65530,65529,65527,65525.1,65524,65522,65522,65520,65519,65518.2,65517,65516,65514,65511,65510,65509,65506
65530,65530,65530,65530,65528,65526,65524,65524,65522,65521,65520,65519,65518,65518,65516,65514,65511,65510.4,65509,65506
65528,65528,65528,65528,65528,65526,65524.7,65522,65521.2,65520,65520,65518,65518,65516,65515,65513,65511,65509,65509,65506
